"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PARVA",1388.06769617646,0.332996876993969,0.199146649377988,1.67211890350175,0.0945008777238335,0.529986482587099
"APH1A",1395.44553771562,0.155999176205593,0.340742854039044,0.457820829861682,0.6470811695084,0.918384990100607
"TPP2",1367.06382451261,-0.256257581886498,0.258083059843779,-0.992926781175077,0.320745637427401,0.767574099756566
"NELFCD",1392.18909095034,-0.0517879573634536,0.186843263177635,-0.277173265349247,0.781647066871628,0.952025174270139
"GPX1",1403.80146694732,0.504166570172925,0.586820079770217,0.859150168089583,0.390257672039631,0.813171171446226
"RAB13",1406.12812379757,0.0418070703425719,0.2418913106226,0.172834113945496,0.862781821490858,0.970311690265545
"PXN",1370.69329081797,-0.0561693318162922,0.238246083757771,-0.235761826303095,0.813617491392594,0.961183396008808
"PHF1",1414.18000477747,-0.603299919121862,0.341760862640587,-1.76526918401515,0.0775185360196263,0.49443473407504
"WDFY2",1378.73974677846,0.139627183554267,0.298688535193856,0.467467502439108,0.640165437394083,0.916200440913953
"ELAVL1",1368.06881330839,0.510288529671224,0.16553619051148,3.08264028605778,0.00205172998570859,0.137609470324274
"BRD8",1404.72312676156,-0.44809288604361,0.283626672657063,-1.57986864156957,0.114136951939056,0.568811680135744
"UBR5",1387.54832925024,-0.122703600971796,0.191944808748554,-0.639265014624787,0.522650543764436,0.876687718586528
"TRPM7",1360.63578849144,0.437968663965475,0.530487978980674,0.825595831232644,0.409033400724802,0.822486635351559
"IRS2",1373.60103703974,0.234818339958654,0.478414880687868,0.490825744427161,0.623549699910506,0.91077846644071
"HLA-DPA1",1327.01121299496,0.71131159917024,0.4675265955643,1.52143558445417,0.12815056473094,0.58699410376069
"CISD2",1383.54684558298,-0.87988089195962,0.342193804342409,-2.57129404680625,0.0101319259253056,0.251390876224693
"HNRNPA0",1388.29036464274,0.0211118938337786,0.176189687811033,0.119824798466194,0.904621937138315,0.979944543637076
"MGST2",1378.54335934142,-0.103526762139596,0.341287064191763,-0.303342180239876,0.761629104346315,0.948429542905202
"CSNK2A2",1333.6923983866,0.571701587856322,0.264250891027437,2.1634802654155,0.0305042599766748,0.372987627619232
"TFRC",1373.24652313023,-0.288220383512497,0.459734205140766,-0.626928299634017,0.530706235857294,0.87952953971638
"PPFIA1",1361.79753025094,-0.123291690611382,0.244033527367041,-0.505224392490725,0.613401239758137,0.907492483167098
"FGD5-AS1",1361.64207258384,0.449813029785647,0.23742408633062,1.89455516808547,0.0581513590095131,0.459632227167657
"NOP9",1380.44818443288,-0.0913862265894133,0.236093663729304,-0.387076150820351,0.698699832982808,0.932252421061519
"POFUT2",1402.14266745766,0.118961525343448,0.36280940762143,0.327889858544067,0.742994941939495,0.944243400131722
"CLTA",1354.4836078208,0.52751795185502,0.242039708864341,2.17946862657435,0.029296872863798,0.363729990786651
"SLC30A5",1337.59220896409,0.167732877252822,0.304740377650303,0.550412382324011,0.58203655769082,0.897415948794093
"NME1",1321.17680579883,0.829862589109101,0.428794616367169,1.93533817224633,0.0529488109974401,0.447107679253514
"TBRG1",1369.35169608298,-0.231101263919564,0.300644351398418,-0.768686532258526,0.442079421877001,0.841542168000033
"GGA2",1387.04286285981,0.0102851135217399,0.140228983332097,0.0733451336331961,0.941531476944874,0.988381046596299
"POMGNT1",1379.19389620042,0.207560706023901,0.247252575149674,0.839468328684763,0.401206554608669,0.819357739653746
"MOGAT2",1405.16019937759,-0.0514759416779501,0.77578938909336,-0.0663529849745797,0.947096800221258,0.989732960847676
"SNAP29",1375.97475795688,0.0886488141417189,0.201313823369325,0.440351351228803,0.659682653923626,0.921687270920122
"RBBP7",1370.95563111176,0.153605628868923,0.18761382074899,0.818733013675114,0.412938756640606,0.824015842802773
"CDKN1B",1378.36670107596,-0.0598181926875139,0.267361565942917,-0.22373519722833,0.82296335668055,0.963363954503993
"KYNU",1323.64645916812,0.355743163488933,0.349576172059056,1.01764133806247,0.308848434622511,0.760404420164137
"BET1L",1347.07489322658,0.282707247609447,0.234770815410426,1.20418394899391,0.228518488421698,0.697930682979206
"CD24",1358.39748993901,0.562915394255748,0.596774159387162,0.94326368761311,0.345546044578457,0.784197615467982
"CD4",1393.69416883163,-0.653552840628992,0.589030041004263,-1.10954076215658,0.26719697000862,0.730236312860484
"AIMP1",1346.69109775105,-0.0203107741182457,0.230265175520407,-0.0882060175723172,0.929712934630765,0.985533409878386
"USB1",1366.78621697755,0.353094773968446,0.289897844668262,1.21799723751828,0.223225022522062,0.694310879379336
"UBE2K",1358.56515273821,0.263672660018922,0.400639673568909,0.658129180443162,0.510455126693359,0.870725286721637
"RNH1",1388.18575829189,0.230655528767604,0.199376827355034,1.15688233094848,0.247320438519494,0.713980731605223
"AAMP",1380.16468759626,0.338542988489807,0.242196628845726,1.39780223243921,0.162172463804934,0.628924060996714
"RNF40",1419.64388218403,-0.188492492659683,0.251802694183372,-0.74857218375279,0.454115102899717,0.849273875474188
"YIPF1",1351.58263763143,0.323488122544205,0.24590932561263,1.31547724649443,0.188349559446878,0.658087130286399
"LCAT",1422.51749149497,-0.824415329363148,0.450792347872802,-1.82881393895304,0.0674274861133081,0.476542845047674
"SPR",1345.70464341778,0.361393286632641,0.344746371746709,1.04828742591717,0.294506201118205,0.749732771137201
"MYLK",1397.76851912048,0.361531598775613,0.433903561202387,0.833207263323157,0.404727846927072,0.821349361999887
"SRM",1312.96148667263,0.314574897391148,0.428599504029123,0.733960012631683,0.462973109449867,0.852601375511863
"ELOA",1365.04778689117,0.0669692237553104,0.289765458569614,0.231115275388221,0.817225248299892,0.961595327131068
"KLHDC2",1379.53176067844,-0.23200463164701,0.226159725705175,-1.02584415029515,0.304965051534481,0.757064962830554
"PLSCR4",1349.83440578271,-0.228812590189523,0.418329421240246,-0.546967482017278,0.584401072736944,0.897548078006054
"DCTD",1368.09690316135,0.440531340410621,0.264605162973171,1.66486298098154,0.0959400952526312,0.532601807742949
"NCOA2",1350.99778721725,0.00137500700423805,0.28024477479875,0.0049064501032195,0.996085234921153,0.999081828974586
"DNAJC11",1381.80340526272,-0.083924552303119,0.192583147129119,-0.435783470953723,0.662993837425754,0.922931137187526
"UBA6",1321.75846594115,-0.0327265522156531,0.320910448278176,-0.101980326260006,0.918772291028198,0.98313207847359
"ARHGAP1",1391.15510395295,-0.440671685707337,0.197952723010986,-2.22614611713566,0.0260043957718428,0.35128075439298
"PCTP",1351.46570407225,0.328635290853075,0.383129238404572,0.857766147583982,0.391021606021476,0.813388200850304
"PQBP1",1377.21949840698,-0.623161390763049,0.315388310648806,-1.97585442999172,0.048171266666123,0.431702372284441
"TXNRD2",1393.86956012795,-0.099786756159729,0.261809816339123,-0.381142149500135,0.703097772859227,0.933659329132549
"RNF167",1366.37550304664,0.245900284445113,0.206780753872444,1.18918361520628,0.234367420618459,0.701851407358454
"CPPED1",1357.22083727001,0.54051369086024,0.3153534644288,1.71399319122519,0.0865299763488192,0.517179035049256
"MAF",1367.57931032113,-0.05636367956817,0.294200637825789,-0.191582451978047,0.848069289178025,0.967746383276809
"HERC1",1386.24698973199,-0.351099476950431,0.218556768459506,-1.6064452243925,0.108176121011601,0.556084873580021
"RPL7AP6",1321.98361293851,0.744005256103144,0.364760055864193,2.03971143260311,0.0413790755564633,0.414601756609947
"PPP1R15A",1318.44844217245,-0.310808822806668,0.592925903252983,-0.524195048827299,0.600142884244051,0.902490434024599
"USF1",1351.48047825427,-0.223149772224951,0.179569156400302,-1.24269544223673,0.213980084101927,0.684738597162829
"BUB3",1314.78819137851,0.14306474730282,0.28582334329836,0.500535560363523,0.616698023487271,0.908477392160044
"ATXN7L3",1383.84072149942,-0.244846782859548,0.20424599946493,-1.19878373873163,0.230612047158989,0.699611284609296
