"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00957",32.2305428918794,0.100380593394531,0.712185913553125,0.140947176129514,0.887911672958684,0.964441036528993
"TERF1P7",30.4757976002008,-0.803091734889996,0.61752866620097,-1.30049304404054,0.193432038796333,0.546352492768097
"AL359715.3",30.591317511586,-0.943415773235444,0.641437484263367,-1.47078366384975,0.141349631730547,0.482708123763145
"TSACC",30.6403603039337,0.24298437137745,0.596067648830281,0.407645628569644,0.683533860319416,0.887045732018782
"ZNF177",31.5011418742409,-1.82101711368629,1.05641088946477,-1.72377730279638,0.0847480535612298,0.382593974809863
"AL162377.1",30.032329718182,-0.0978176840306265,0.566737590757688,-0.172597840033606,0.86296754982118,0.954572521014323
"PRELID2",30.878530576413,0.474864324413742,0.542610296525086,0.875148015905349,0.381493373986637,0.713113300942395
"CD200R1",30.321384901137,-0.143824385284882,0.422333376923573,-0.340547049187894,0.733444597561342,0.906673481168085
"KIAA1257",29.9560727995884,-0.0211702277126072,0.59758686542161,-0.0354261931404252,0.971739898711429,0.992193525079608
"AC036108.3",30.2572061863249,-0.165339204096715,0.53350275876964,-0.309912556924765,0.756627453580644,0.913623530522351
"AL050343.2",30.7127363620919,-0.689684716688227,0.815685302714602,-0.845527943672585,0.397816137640345,0.725181533521057
"LRRC29",30.9528109238979,-0.242995442760827,0.564400222473131,-0.430537468068407,0.666804717492422,0.878950880231568
"H3C10",30.6705686029809,-0.331877544133316,0.806148559322823,-0.411682859561391,0.680571889853916,0.885971254129161
"RPS2P55",30.7777531125749,1.40032208144932,0.564051450523801,2.48261409513073,0.0130422293543573,0.164229643350336
"PIK3R6",29.7940627353512,0.00441342300673693,0.845462773171642,0.00522012694915064,0.995834960217882,0.998890587615217
"AC090616.6",31.0919774435262,-0.356665470716068,0.508638067694106,-0.701216628029828,0.483167834301365,0.781215483382298
"AC091607.2",29.6624881468358,-0.761759460176983,0.918519574841684,-0.829333942402131,0.406915469355156,0.731222682735817
"COL21A1",31.7354073666664,-0.63313582674429,0.921573902739283,-0.687015794243261,0.492072775522325,0.784603032495815
"CCNT2-AS1",28.3085654641191,-0.306903040519027,0.689398444019359,-0.445175127941555,0.656193199507156,0.872935366884315
"RAB42",29.4547789579353,0.121919299013424,0.603908747619529,0.201883644663208,0.840007688483744,0.947283914008289
"CCDC170",29.6430183887716,-0.405977301873382,0.637073105037079,-0.637253870338402,0.52395949318485,0.801808948637736
"STRIP2",28.9308742024037,0.0729751347206758,0.911461209853858,0.0800638951298613,0.93618643804257,0.9805930951213
"ADPRHL1",30.2266518925651,-0.0660640956153315,0.535521965868234,-0.123363932435942,0.901818916614557,0.96896136650253
"AC010245.2",31.1242390709911,-0.931137073136312,0.540066167595945,-1.72411665274495,0.0846867864034426,0.382593974809863
"ZNF135",30.0979211895208,-0.350321245300731,0.489331828694006,-0.715917552789718,0.474042259372728,0.775739354953095
"GPIHBP1",31.4729830481601,-0.878465701647956,0.997753561355663,-0.880443564094495,0.378619065387611,0.711249245987859
"Z94721.2",30.5115110468453,-0.709404389467613,0.588010924523176,-1.20644763537833,0.227644938244711,0.58290530032496
