"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTUD3",408.748148422172,-0.318354792715991,0.299873084690712,-1.06163176680008,0.288402886513737,0.954806120716542
"SNIP1",404.894680200759,-0.168468334423261,0.291630207687203,-0.57767792904347,0.563481582857088,0.993890307205123
"SLC41A1",414.354410286003,0.629217056699223,0.371041458619169,1.69581334398817,0.089921234586059,0.835372049851089
"FEZ2",395.369428901728,-0.28822470106496,0.282670177885575,-1.01965019168606,0.307894391799432,0.958196431010702
"CRTC1",421.258397998486,0.245395939981505,0.267943701701034,0.915848883267697,0.359746160364512,0.973009812253607
"PHLDB1",428.401626195329,0.552034183175775,0.385204592442105,1.43309346255716,0.151831129458292,0.897862069096618
"ZCCHC17",397.003956367061,-0.324829218697047,0.267616202104137,-1.21378756645925,0.224828855451609,0.936928417970191
"RAB9A",416.079616378157,0.00203832258709953,0.236431102597855,0.00862121169635834,0.993121353501735,0.999916454159156
"PNPLA4",405.239509589008,-0.0655329768755134,0.400280122192683,-0.163717789723187,0.869953312339423,0.996417816814076
"ABHD15",430.166280424012,0.58976718485905,0.53443306841261,1.10353797269842,0.269793610703937,0.947934043148451
"PEX10",411.258743898094,-0.416353630276753,0.371560851551492,-1.12055300911876,0.262478176700101,0.945890301906686
"CPSF4",407.836661009373,0.276549517714685,0.389576745133872,0.709871729175348,0.477783683178818,0.988133333204232
"ADAMTS10",426.654673440091,0.480488157778518,0.424203855108472,1.13268220453973,0.257347733378242,0.944290504589861
"NSUN5P2",414.27344639921,-0.117855661834405,0.342808882388816,-0.343794072700639,0.731001158135339,0.996417816814076
"CYP1A1",430.525518887154,-0.000226616150496887,1.4185857169608,-0.000159747943171452,0.999872539583066,1
"LRRC57",410.043437124336,0.00165933919853608,0.225628690817666,0.00735429165733636,0.994132177125143,0.999952866613732
"TMEM120B",413.953931116305,-0.12064457831552,0.430473400280628,-0.280260239626586,0.77927785304832,0.996417816814076
"DNAJC9",405.801636971187,-0.0637093341110307,0.32955417138397,-0.193319762403498,0.846708550093317,0.996417816814076
"ASPN",409.625291657884,-1.02341715412698,0.647657465999766,-1.58018274759971,0.114065021562402,0.866631066956031
"MACROD1",411.270159762444,-0.64934897006315,0.504741537386833,-1.2864979835521,0.198269322106601,0.926653466621088
"CRYBG1",405.449639031682,0.0778435700004019,0.426555337605256,0.182493484754937,0.855195466921526,0.996417816814076
"GGT5",427.963080025572,0.550979655794238,0.46705350045833,1.17969280875435,0.238122415073763,0.939722585574959
"LY6G5B",404.109238337688,-0.480186850871787,0.319689247905105,-1.5020425429332,0.133086122095679,0.880300258128149
"HLTF",402.560465358609,-0.0919972908542442,0.252606109574661,-0.364192659509106,0.71571414802822,0.996417816814076
"FZR1",420.445297865437,0.38462327179641,0.276887451777026,1.38909607253037,0.164803537894183,0.915108428355898
"RIN3",416.130301519219,0.130268886045492,0.341922745991037,0.380989236816982,0.703211235108425,0.996417816814076
"SH3RF1",409.595876415052,0.0437581868228243,0.315944187039868,0.138499737035208,0.889845477429001,0.996417816814076
"PRMT3",392.746611359503,-0.343400588721912,0.363259502989558,-0.945331328969481,0.344489748786338,0.968617424521232
"WDR7",416.180346623449,0.324495371284031,0.4233517069559,0.766491231645921,0.443384067185417,0.984730938921777
"SLC17A1",399.77153103628,-1.18205970005962,0.513983559115346,-2.29980060470057,0.0214595191903701,0.665480740803037
"TBC1D25",414.372661823858,0.465358810018854,0.400495517769039,1.16195759845487,0.24525268880045,0.940346456666655
"COMMD6",400.858394936344,-0.0520989563434024,0.304552326176546,-0.171067340044552,0.864170816156837,0.996417816814076
"STRADA",409.498949041176,-0.305743280343202,0.256542110559709,-1.19178593984492,0.233345190225621,0.939722585574959
"RWDD4",397.090263824287,-0.537966033615461,0.322084488208598,-1.67026371436754,0.0948671989581783,0.843674808286958
"TMEM170B",400.477928136339,-0.677898874177172,0.323698904042763,-2.09422665851108,0.0362397940771503,0.735702423150149
"DANCR",412.004572156307,-0.226497593203152,0.522128415837492,-0.433796718073371,0.664436065062832,0.996417816814076
"SMIM13",395.529104283271,0.0416813357228971,0.304375673194781,0.136940430506165,0.891077880928101,0.996417816814076
"PDF",403.423293501216,-0.0176669799155082,0.597155762933314,-0.0295852121207463,0.976397859170088,0.99963367653773
"ABTB1",422.909405090787,0.236460586448396,0.375790319434182,0.629235438540377,0.529194931207733,0.99040814367672
"SMIM20",396.946769438763,-0.151132802619073,0.306251070942113,-0.493493139972203,0.621664185822429,0.996417816814076
"TBC1D8B",405.978337675342,0.0540237088759827,0.334220892170889,0.161640729653609,0.871588781427762,0.996417816814076
"EHD2",447.132711490367,1.98342363465546,0.534872952067918,3.70821449652142,0.000208725819440434,0.142971281633284
"NENF",409.955735610992,-0.0954128553917862,0.250097704410031,-0.381502323729283,0.7028305472706,0.996417816814076
"SPIRE2",415.348325789961,-0.0981538655578409,0.35088822932824,-0.279729718337238,0.779684876225574,0.996417816814076
"DCAKD",405.741831296825,0.173372745460451,0.370611215403348,0.467802209579016,0.639926040359858,0.996417816814076
"MAP3K14",420.713865346047,0.329588850150181,0.36901021616951,0.893169987463923,0.371766147780782,0.975255709181725
"RNF214",411.903172262817,0.155602833155145,0.241395654152394,0.644596663106917,0.519188597884215,0.99040814367672
"WDR44",398.841799020705,-0.406627296318903,0.262624368758657,-1.54832279365736,0.121544599244204,0.874601034656591
"YAF2",396.1010809427,-0.867236034551292,0.412942714790981,-2.10013641962484,0.0357168423931328,0.735702423150149
"IFT74",402.249256104408,-0.264457079285238,0.26923862204001,-0.98224050205523,0.325981378516817,0.963827946053142
"FTO",413.101026409958,0.577871473889148,0.543461233858119,1.06331682535431,0.287638297509456,0.954210544331395
"FGD4",411.798779526299,-0.52361909879698,0.775546292183087,-0.675161630033771,0.499573081429916,0.99040814367672
"TMEM65",400.39807787232,-0.253285685351235,0.331251608371904,-0.764632318605575,0.444490518745542,0.984730938921777
"AL157392.3",403.040885292636,-0.110440541240157,0.271239558577677,-0.407169742567361,0.6838833228904,0.996417816814076
"LMNTD2",426.121926749869,0.10062200615957,0.415681363977106,0.242065232842895,0.808729617330277,0.996417816814076
"PLEKHA2",410.680082733982,0.191220832683961,0.285621998976177,0.669489161792156,0.503183492128094,0.99040814367672
"MYC",417.800507687134,0.173806273221151,0.612647054153665,0.283697231616095,0.77664241645636,0.996417816814076
"NPDC1",424.595139637345,0.72536211545326,0.378710903290274,1.91534521227471,0.0554484932479289,0.791424370930989
"ERVK13-1",411.558818355635,-0.952940953056861,0.500044339688659,-1.90571290867963,0.0566874635763742,0.79552846374125
